opsomde	'Op-sOm-d@
omging	'Om-GIN
aanbraste	'am-brAs-t@
naholde	'na-hOl-d@
ronddiende	'rOn-din-d@
bekiste	b@-'kIs-t@
ronkte	'rONk-t@
overleverde	'o-v@r-le-v@r-d@
groothield	'xrot-hilt
sliepte	'slip-t@
kraaide	'kraj-d@
bedrupte	b@-'drYp-t@
verordonneerde	v@r-Or-dO-'ner-d@
neerliet	'ner-lit
welvoer	'wEl-vur
vermofte	v@r-'mOf-t@
meeviel	'me-vil
heisterde	'hE+s-t@r-d@
doodviel	'dot-fil
ziedde	'zi-d@
teugelde	't2-G@l-d@
tuide	'tY+-d@
smijdigde	'smE+-d@G-d@
troepte	'trup-t@
insereerde	In-s@-'rer-d@
optilde	'Op-tIl-d@
buitmaakte	'bY+t-mak-t@
verbeidde	v@r-'bE+-d@
uitleurde	'Y+t-l2r-d@
verdierlijkte	v@r-'dir-l@k-t@
terugschrok	t@-'rYx-sxrOk
borgde	'bOrG-d@
inknipte	'INk-nIp-t@
inslokte	'In-slOk-t@
gelijkkwam	x@-'lE+-kwAm
verorberde	v@r-'Or-b@r-d@
oprispte	'Op-rIsp-t@
afzwoegde	'Af-swuG-d@
interesseerde	In-t@-rE-'ser-d@
afploegde	'Af-pluG-d@
heruitgaf	hE-'rY+t-xAf
trukeerde	try-'ker-d@
inreed	'In-ret
mopperde	'mO-p@r-d@
ontregelde	Ont-'re-G@l-d@
executeerde	Ek-s@-ky-'ter-d@
wegdrong	'wEG-drON
thuisliet	'tY+s-lit
aanknipte	'aN-knIp-t@
neerplofte	'ner-plOf-t@
toeschouwde	'tu-sxA+w-d@
hoonde	'hon-d@
ronddraaide	'rOn-draj-d@
huichelde	'hY+-x@l-d@
wegpromoveerde	'wEx-pro-mo-ver-d@
inbakte	'Im-bAk-t@
doorloodste	'dor-lots-t@
beestte	'bes-t@
ontwaterde	Ont-'wa-t@r-d@
afroofde	'Af-rov-d@
manipuleerde	ma-ni-py-'ler-d@
onderstond	'On-d@r-stOnt
afrasterde	'Af-rAs-t@r-d@
rammelde	'rA-m@l-d@
bestemde	b@-'stEm-d@
beluide	b@-'lY+-d@
digitaliseerde	di-Gi-ta-li-'zer-d@
vocaliseerde	vo-ka-li-'zer-d@
uitkraaide	'Y+t-kraj-d@
terugriep	t@-'rYG-rip
wegwas	'wEG-wAs
greinde	'xrE+n-d@
inpekte	'Im-pEk-t@
afwimpelde	'Af-wIm-p@l-d@
vees	'ves
poederde	'pu-d@r-d@
peuterde	'p2-t@r-d@
railleerde	re-'jer-d@
opstond	'Op-stOnt
ontgleed	Ont-'xlet
heiligde	'hE+-l@G-d@
berouwde	b@-'rA+w-d@
ombouwde	'Om-bA+w-d@
daalde	'dal-d@
ribde	'rIb-d@
verroerde	v@-'rur-d@
wreekte	'wrek-t@
aandeed	'an-det
omstikte	'Om-stIk-t@
samenvlocht	'sa-m@n-vlOxt
bijwerkte	'bE+-wErk-t@
overtrok	'o-v@r-trOk
samenstelde	'sa-m@n-stEl-d@
matte	'mA-t@
doorschreef	'dor-sxref
repousseerde	re-pu-'ser-d@
omhing	'Om-hIN
plukhaarde	'plYk-har-d@
rondgaf	'rOnt-xAf
voorspelde	'vor-spEl-d@
verknolde	v@r-'knOl-d@
klabetterde	kla-'bE-t@r-d@
helde	'hEl-d@
subsidieerde	sYp-si-di-'jer-d@
voortdeed	'vor-det
afbette	'Av-bE-t@
doorzocht	'dor-zOxt
tegenhad	'te-G@-hAt
schoffelde	'sxO-f@l-d@
vijlde	'vE+l-d@
taliede	'ta-li-d@
omhieuw	'Om-hiw
doorstoofde	'dor-stov-d@
ontvoogdde	Ont-'foG-d@
bauwde	'bA+w-d@
vlood	'vlot
vloog	'vlox
kapseisde	'kAp-sE+z-d@
neerzag	'ner-zAx
voorbracht	'vor-brAxt
mythiseerde	mi-ti-'zer-d@
vloot	'vlot
neerzat	'ner-zAt
teade	'ti-d@
herinnerde	hEr-'I-n@r-d@
bewonderde	b@-'wOn-d@r-d@
opsprong	'Op-sprON
veinsde	'vE+nz-d@
toeging	'tu-GIN
vertwijfelde	v@r-'twE+-f@l-d@
afbolde	'Av-bOl-d@
beboerde	b@-'bur-d@
neerhaalde	'ner-hal-d@
missloeg	'mI-slux
